"lambda"	"resv"
2101	0.074098
2102	0.074326
2103	0.074728
2104	0.075078
2105	0.075465
2106	0.075666
2107	0.076005
2108	0.076324
2109	0.076648
2110	0.076871
2111	0.077196
2112	0.077486
2113	0.077849
2114	0.078033
2115	0.078307
2116	0.078636
2117	0.078974
2118	0.07918
2119	0.079498
2120	0.07984
2121	0.080244
2122	0.080527
2123	0.080742
2124	0.081068
2125	0.081358
2126	0.081663
2127	0.081861
2128	0.082105
2129	0.082397
2130	0.082688
2131	0.08298
2132	0.083123
2133	0.083414
2134	0.083604
2135	0.083817
2136	0.084091
2137	0.084211
2138	0.084397
2139	0.084567
2140	0.084756
2141	0.084992
2142	0.085182
2143	0.085299
2144	0.085469
2145	0.085706
2146	0.085942
2147	0.086138
2148	0.086254
2149	0.086401
2150	0.086661
2151	0.0869
2152	0.087072
2153	0.087287
2154	0.087412
2155	0.087601
2156	0.087888
2157	0.087994
2158	0.088187
2159	0.088359
2160	0.088557
2161	0.088632
2162	0.088851
2163	0.089022
2164	0.089239
2165	0.089387
2166	0.089583
2167	0.089803
2168	0.089993
2169	0.090116
2170	0.090312
2171	0.09051
2172	0.090682
2173	0.090904
2174	0.091148
2175	0.091323
2176	0.091547
2177	0.091771
2178	0.092016
2179	0.092321
2180	0.092599
2181	0.092824
2182	0.093104
2183	0.093356
2184	0.093608
2185	0.093917
2186	0.094149
2187	0.094382
2188	0.094685
2189	0.094895
2190	0.095099
2191	0.095387
2192	0.095594
2193	0.095817
2194	0.095914
2195	0.096041
2196	0.096248
2197	0.096455
2198	0.096605
2199	0.096679
2200	0.096862
2201	0.097045
2202	0.097199
2203	0.097351
2204	0.09745
2205	0.097609
2206	0.097736
2207	0.097862
2208	0.098078
2209	0.098209
2210	0.098399
2211	0.098588
2212	0.09872
2213	0.098819
2214	0.09887
2215	0.098973
2216	0.098964
2217	0.099007
